index,word,,,,boundary,corrected,filler,comments,,,glossary,
578,couple,couple,249.53,249.61,0,,,,,,,
579,times,times,249.61,249.98,1,,,,,,,
580,and,and,250.379999,250.579999,0,,,,,,,
581,then,then,250.58,250.93,0,,,,,,,
582,uh,uh,250.949999,251.029999,0,,1,was not in the recording,,,,
583,the,the,251.039999,251.779999,0,,,,,,,
584,guy,guy,252.24,252.74,2,,,switched to something else,,,,
584a,um,,,,0,,1,,,,,
585,the,the,253.28,253.67,0,,,,,,,
586,same,same,254.6,254.78,0,,,,,,,
587,bottle,,,,0,,,,,,,
588,that,that,255.12,255.35,0,,,,,,,
589,the,the,255.36,255.55,0,,,,,,,
590,man,man,255.55,255.84,0,,,,,,,
591,had,had,255.85,256.07,0,,,,,,,
592,earlier,earlier,256.08,256.38,0,,,,,,,
593,with,with,256.38,256.54,0,,,,,,,
594,the,,,,0,,,,,,,
595,pills,,,,0,,,,,,,
596,in,in,256.94,257.09,0,,,,,,,
597,it,it,257.09,257.27,2,,,,,,,
598,that,that,257.51,257.69,0,,,,,,,
599,appears,appears,257.69,258.04,0,,,,,,,
600,again,again,258.04,258.28,1,,,,,,,
601,and,and,258.28,258.31,0,,,,,,,
602,we,we,259.69,259.71,0,,,,,,,
602a,um,,,,0,,1,,,,,
603,assume,assume,259.71,260.11,0,,,,,,,
604,that,that,260.11,260.41,0,,,,,,,
605,the,the,260.42,261,2,,,,,,,
606,um,um,261.03,261.64,0,,1,,,,,
607,that,that,261.69,261.87,0,,,,,,,
608,the,the,261.87,262.15,0,,,,,,,
609,guy,guy,263.07,263.35,0,,,,,,,
610,who,who,263.349999,263.649999,0,,,,,,,
611,walked,walked,263.66,264.02,0,,,,,,,
612,away,away,264.02,264.47,0,,,,,,,
613,supposedly,supposedly,264.48,264.82,0,,,,,,,
614,to,to,265.36,265.42,0,,,,,,,
615,get,get,265.42,265.58,0,,,,,,,
616,an,an,265.58,265.67,0,,,,,,,
617,umbrella,umbrella,265.679999,266.149999,0,,,,,,,
618,took,took,266.709999,266.739999,0,,,,,,,
619,this,this,266.739999,266.769999,0,,,,,,,
620,pill,pill,267.089999,267.609999,0,,,,,,,
621,and,and,267.91,268.11,0,,,,,,,
622,then,then,268.109999,268.489999,0,,,,,,,
623,um,um,268.539999,269.009999,0,,1,,,,,
624,died,died,269.17,269.53,1,,,,,,,
625,then,then,270.8,271.16,0,,,,,,,
626,there,there,271.58,271.87,0,,,,,,,
627,is,is,271.87,272.18,0,,,,,,,
628,another,another,272.21,272.68,0,,,,,,,
629,scene,scene,272.72,272.97,0,,,,,,,
630,with,with,272.98,273.33,0,,,,,,,
631,two,two,273.91,274.22,2,,,she changed her mind about what she was going to say,,,,
632,um,um,274.22,274.9,0,,1,,,,,
633,it,it,275.04,275.24,0,,,,,,,
633a,it,,,,0,,,,,,,
634,looks,looks,275.56,275.75,0,,,,,,,
635,like,like,275.75,276.07,0,,,,,,,
636,it's,,,,0,,,,,,,
637,in,in,276.37,276.47,0,,,,,,,
638,a,a,276.47,276.54,0,,,,,,,
639,club,,,,0,,,,,,,
640,or,or,277.17,277.18,0,,2,,,,,
641,something,something,277.18,277.72,1,,2,,,,,
642,there's,there's,277.77,277.99,0,,,,,,,
643,a,a,277.99,278.14,0,,,,,,,
644,bar,bar,278.19,278.68,1,,,,,,,
645,a,a,279.03,279.13,0,,,,,,,
646,woman,woman,279.13,279.52,0,,,,,,,
647,walks,walks,279.52,279.8,0,,,,,,,
648,out,out,279.83,279.99,0,,,,,,,
649,of,of,279.99,280.2,0,,,,,,,
650,the,the,280.36,280.99,0,,,,,,,
651,club,club,281.27,281.61,0,,,,,,,
652,dance,dance,281.639999,282.009999,0,,,,,,,
653,floor,floor,282.059999,282.429999,0,,,,,,,
654,area,area,282.44,283,0,,,,,,,
655,and,and,283.23,283.26,0,,,,,,,
656,says,,,,0,,,,,,,
657,to,,,,0,,,,,,,
658,a,a,283.74,283.75,0,,,,,,,
659,man,man,283.75,284.13,1,,,,,,,
660,hey,hey,284.429999,284.759999,0,,,start of quote,,,,
661,she's,she's,284.79,285.05,0,,,,,,,
662,still,still,285.049999,285.269999,0,,,,,,,
663,dancing,dancing,285.27,285.89,0,,,,,,,
664,if,if,285.889999,285.999999,0,,,,,,,
665,you,you,286,286.1,0,,,,,,,
666,can,can,286.1,286.24,0,,,,,,,
667,call,call,286.27,286.52,0,,,,,,,
668,it,it,286.52,286.65,0,,,,,,,
669,that,that,286.65,286.98,1,,,end of quote,,,,
670,um,um,287.37,287.8,0,,1,,,,,
671,and,and,289.74,289.89,0,,,,,,,
672,then,then,289.89,290.25,0,,,,,,,
673,um,um,290.27,290.74,0,,1,,,,,
674,these,these,291.31,291.66,0,,,,,,,
675,two,two,292.44,292.93,2,,,changed her mind,,,,
676,or,or,293.61,293.72,0,,,,,,,
677,actually,actually,293.8,294.12,0,,,,,,,
677a,that's,,,,2,,,changed her mind,,,,
678,just,just,294.76,294.93,0,,2,,,,,
679,kidding,kidding,294.93,295.14,1,,2,oz is not 100% sure but tend to agree,,,,
680,that's,that's,295.14,295.3,0,,,,,,,
681,the,the,295.3,295.48,0,,,,,,,
682,end,end,295.48,295.69,0,,,,,,,
683,of,of,295.69,296.03,0,,,,,,,
684,those,those,296.44,296.78,0,,,,,,,
685,two,two,296.98,297,0,,,,,,,
686,characters,characters,297,297.48,1,,,,,,,
687,and,and,297.48,297.57,0,,,,,,,
688,then,then,297.7,297.79,0,,,,,,,
689,uh,uh,298.4,298.7,0,,1,,,,,
690,we,we,298.7,298.89,0,,,,,,,
691,see,see,298.889999,299.109999,0,,,,,,,
692,the,the,299.11,299.24,0,,,,,,,
693,woman,woman,299.24,299.52,2,,,,,,,
693a,looks,,,,2,,,she wanted to say something,,,,
693b,uh,,,,3,,1,,,,,
694,assuming,assuming,300.469999,301.059999,0,,,"embedded, incomplete",,,,
695,she's,she's,301.66,301.86,0,,,,,,,
696,the,the,301.87,302.01,0,,,,,,,
697,one,one,302.009999,302.349999,0,,,,,,,
698,that,that,302.36,302.66,0,,,,,,,
699,those,those,303.17,303.37,0,,,,,,,
700,two,two,303.48,303.56,0,,,,,,,
701,characters,characters,303.559999,303.909999,0,,,,,,,
702,are,are,303.91,303.96,0,,,,,,,
703,talking,talking,303.96,304.27,0,,,,,,,
704,about,about,304.27,304.63,1,,,,,,,
705,and,and,304.9,305.49,0,,,,,,,
706,she,she,305.559999,306.119999,0,,,,,,,
707,has,has,306.129999,306.589999,2,,,,,,,
708,she,she,307.26,307.39,0,,,repetition,,,,
709,also,also,307.39,307.69,0,,,,,,,
710,has,has,307.69,307.99,0,,,,,,,
711,these,these,308.01,308.35,0,,,,,,,
712,um,um,308.84,309.21,0,,1,,,,,
713,pills,pills,309.68,310.16,0,,,,,,,
714,and,and,310.19,310.62,0,,,,,,,
715,takes,takes,310.63,310.91,0,,,,,,,
716,one,one,310.91,311.08,0,,,,,,,
717,out,out,311.1,311.26,0,,,,,,,
718,of,of,311.26,311.48,0,,,,,,,
719,the,the,311.77,312.25,0,,,,,,,
720,same,same,312.27,312.66,0,,,,,,,
721,vial,vial,312.67,313.05,0,,,,,,,
722,again,again,313.05,313.42,0,,,,,,,
723,and,and,313.77,314.07,0,,,,,,,
724,is,is,314.13,314.2,0,,,,,,,
725,dead,dead,314.41,314.5,1,,,,,,,
726,i,i,317.53,317.54,0,,,,,,,
727,believe,believe,317.54,317.92,0,,,,,,,
728,then,then,318.09,318.4,0,,,,,,,
729,we,we,319.09,319.76,0,,,,,,,
730,go,go,319.809999,320.199999,0,,,,,,,
731,to,to,320.45,320.76,0,,,,,,,
732,um,um,320.79,321.58,0,,1,,,,,
732a,uh,,,,0,,1,,,,,
733,a,a,323.49,323.93,0,,,,,,,
734,panel,panel,324.11,324.68,1,,,,,,,
735,uh,uh,325.01,325.68,0,,1,,,,,
736,it,,,,0,,,,,,,
737,looks,,,,0,,,,,,,
738,like,like,326.21,326.37,0,,,,,,,
739,a,a,326.37,326.42,0,,,,,,,
740,press,press,326.42,326.66,0,,,,,,,
741,conference,conference,326.68,327.24,1,,,,,,,
742,and,and,327.27,327.59,0,,,,,,,
743,we're,we're,327.87,328,0,,,,,,,
744,not,not,328,328.1,0,,,,,,,
745,sure,sure,328.1,328.25,0,,,,,,,
746,exactly,exactly,328.25,328.73,0,,,,,,,
747,who,who,328.73,328.89,0,,,,,,,
748,the,the,328.89,329.02,0,,,,,,,
749,characters,characters,329.02,329.55,0,,,,,,,
750,are,are,329.55,329.9,0,,,,,,,
751,on,on,330.17,330.5,0,,,,,,,
752,the,the,330.65,330.77,0,,,,,,,
753,panel,panel,330.77,331.15,1,,,,,,,
754,but,but,331.15,331.42,0,,,,,,,
755,they,they,331.42,331.54,0,,,,,,,
756,seem,seem,331.54,331.74,0,,,,,,,
757,to,to,331.74,331.8,0,,,,,,,
758,be,be,331.8,331.92,0,,,,,,,
759,some,some,331.95,332.11,0,,,,,,,
760,sort,sort,332.11,332.34,0,,,,,,,
761,of,of,332.34,332.51,0,,,,,,,
762,public,public,332.86,333.2,0,,,,,,,
763,safety,safety,333.21,333.97,0,,,,,,,
764,police,police,334.02,334.37,0,,,,,,,
765,chief,chief,334.39,334.58,0,,,,,,,
766,kind,kind,334.91,335.19,0,,2,,,,,
767,of,of,335.19,335.48,0,,2,,,,,
768,figures,figures,335.84,336.39,1,,,,,,,
769,and,and,336.92,337.38,0,,,,,,,
770,uh,uh,337.389999,337.979999,0,,1,,,,,
771,there's,there's,338.02,338.54,0,,,,,,,
772,pictures,pictures,338.759999,339.369999,0,,,,,,,
773,of,of,339.4,339.57,0,,,,,,,
774,the,the,339.57,340.04,0,,,,,,,
775,three,three,340.459999,340.949999,0,,,,,,,
776,suicide,suicide,341.369999,342.109999,0,,,,,,,
777,victims,victims,342.279999,342.999999,0,,,,,,,
778,um,um,343.45,344.08,0,,1,,,,,
779,as,as,344.18,344.39,0,,,,,,,
780,a,a,344.39,344.48,0,,,,,,,
781,backdrop,backdrop,344.49,345.64,1,,,,,,,
782,there's,there's,345.83,346.35,0,,,,,,,
783,a,a,346.39,346.59,0,,,,,,,
784,man,,,,0,,,,,,,
785,and,,,,0,,,,,,,
786,a,a,346.99,347.09,0,,,,,,,
787,woman,woman,347.09,347.44,0,,,,,,,
788,who,who,347.44,347.57,0,,,,,,,
789,are,are,347.57,347.77,0,,,,,,,
790,really,really,347.77,348.14,0,,2,,,,,
791,speaking,speaking,348.34,348.94,0,,,,,,,
792,or,or,349.02,349.32,0,,,,,,,
792a,who,,,,0,,,,,,,
793,are,are,349.37,349.51,0,,,,,,,
794,important,important,349.51,349.93,0,,,,,,,
795,in,in,349.93,350,0,,,,,,,
796,this,,,,0,,,,,,,
797,scene,scene,350.139999,350.449999,1,,,,,,,
798,the,the,350.46,350.59,0,,,,,,,
799,man,man,350.61,350.92,0,,,,,,,
800,is,is,350.929999,350.959999,0,,,,,,,
801,mostly,,,,0,,,,,,,
802,talking,talking,351.349999,352.079999,1,,,,,,,
803,he's,he's,352.23,352.39,0,,,,,,,
804,saying,saying,352.83,353.37,0,,,,,,,
805,things,things,354.15,354.52,0,,,,,,,
806,like,like,354.53,354.96,0,,,starts quoting,,,,
807,these,these,355.95,355.99,0,,,,,,,
808,suicides,suicides,355.99,356.39,0,,,,,,,
809,are,are,356.39,356.48,0,,,,,,,
810,definitely,definitely,356.48,357.1,0,,,,,,,
811,linked,linked,357.1,357.32,1,,,,,,,
812,uh,uh,357.889999,358.399999,0,,1,,,,,
813,it,it,358.469999,358.599999,0,,,,,,,
814,was,was,358.6,358.68,0,,,,,,,
815,the,the,358.68,358.81,0,,,,,,,
816,same,same,358.82,359.09,0,,,,,,,
817,poison,poison,359.09,359.69,0,,,,,,,
818,that,that,359.73,360.19,0,,,,,,,
819,killed,killed,360.25,360.59,0,,,,,,,
820,all,all,360.6,360.88,0,,,,,,,
821,of,of,360.88,361.04,0,,,,,,,
822,them,them,361.04,361.31,1,,,end of quote,,,,
823,um,um,361.53,362.19,0,,1,,,,,
824,the,the,363.57,363.66,2,,,she starts saying something here,,,,
825,uh,uh,363.67,364.98,0,,1,,,,,
826,he,he,365.58,365.73,0,,,here she changed here mind,,,,
827,does,does,365.73,365.94,0,,,,,,,
828,say,say,365.94,366.03,0,,,,,,,
829,some,some,366.2,366.41,0,,,,,,,
830,things,things,366.41,366.75,0,,,,,,,
831,though,though,366.75,367.09,1,,,,,,,
832,he,he,367.1,367.23,0,,,,,,,
833,says,says,367.23,367.64,0,,,,,,,
834,i,i,367.68,367.78,0,,,starts quoting,,,,
835,believe,believe,367.78,368.15,1,,,,,,,
836,um,um,368.5,368.97,0,,1,,,,,
837,like,like,369.82,370.07,0,,1,,,,,
838,we,,,,0,,,,,,,
839,have,have,370.16,370.37,0,,,,,,,
840,our,our,370.37,370.42,0,,,,,,,
841,best,best,370.42,370.62,0,,,,,,,
842,people,people,370.62,370.87,0,,,,,,,
843,on,on,370.87,370.99,0,,,,,,,
844,the,the,370.99,371.08,0,,,,,,,
845,team,team,371.08,371.44,1,,,end of quote,,,,
846,and,and,371.45,371.61,0,,,,,,,
847,then,then,371.61,371.9,0,,,,,,,
848,everyone,everyone,372.32,372.73,0,,,,,,,
849,in,in,372.73,372.77,0,,,,,,,
850,the,the,372.78,372.89,0,,,,,,,
851,room,room,372.889999,373.329999,0,,,,,,,
852,gets,gets,373.4,373.66,0,,,,,,,
853,a,a,373.66,373.72,0,,,,,,,
854,text,text,373.719999,374.079999,0,,,,,,,
855,that,that,374.139999,374.309999,0,,,,,,,
856,just,just,374.309999,374.459999,0,,,,,,,
857,says,says,374.46,374.74,0,,,,,,,
858,wrong,wrong,374.759999,375.149999,1,,,starts & end of quote,,,,
859,that's,that's,375.19,375.37,0,,,,,,,
860,it,it,375.37,375.55,1,,,,,,,
861,wrong,wrong,375.589999,375.969999,0,,,,,,,
861a,ques-,,,,0,,,,,,,
861b,or,,,,2,,,,,,,
862,exclamation,exclamation,376.469999,376.979999,0,,,,,,,
863,mark,mark,376.98,377.2,1,,,,,,,
864,and,and,377.59,377.75,0,,,,,,,
865,then,then,377.75,377.91,0,,,,,,,
866,later,later,377.91,378.16,0,,,,,,,
867,he,he,378.16,378.36,0,,,,,,,
868,says,says,378.36,378.95,2,,,,,,,
869,um,um,378.98,379.7,0,,1,,,,,
870,oh,oh,380.18,380.37,0,,1,she changes here mind,,,,
871,later,later,380.37,380.72,0,,,,,,,
872,there's,there's,380.72,380.94,0,,,,,,,
873,a,a,380.99,381.08,0,,,,,,,
874,woman,woman,381.08,381.46,0,,,,,,,
875,in,in,381.46,381.54,0,,,,,,,
876,the,the,381.57,381.73,0,,,,,,,
877,audience,audience,381.73,382.32,0,,,,,,,
878,who,who,382.63,382.83,0,,,,,,,
879,asks,asks,382.84,383.28,0,,,,,,,
880,if,if,383.54,383.73,0,,,,,,,
881,these,these,383.73,383.95,0,,,,,,,
882,suicides,suicides,384.19,384.35,0,,,,,,,
883,are,are,384.35,384.45,0,,,,,,,
884,linked,linked,384.45,384.67,0,,,prosody,,,,
885,how,how,384.73,384.94,0,,,,,,,
886,do,do,384.94,385.03,0,,,,,,,
887,we,we,385.03,385.13,0,,,,,,,
888,know,know,385.13,385.25,0,,,,,,,
889,they're,they're,385.25,385.34,0,,,,,,,
890,not,not,385.34,385.53,0,,,,,,,
891,murder,murder,385.53,385.99,1,,,,,,,
892,and,and,386.22,386.39,0,,,,,,,
893,then,then,386.389999,386.599999,0,,,,,,,
894,the,the,386.599999,387.179999,0,,,,,,,
895,the,the,387.26,387.59,0,,,repetition,,,,
896,man,man,387.62,387.84,0,,,,,,,
897,responds,responds,387.84,388.35,0,,,,,,,
898,saying,saying,388.59,388.99,0,,,,,,,
899,well,well,389.54,389.78,0,,2,start of quote,,,,
900,they're,they're,389.78,389.95,0,,,,,,,
901,obviously,obviously,389.95,390.4,0,,,,,,,
902,suicides,suicides,390.4,390.83,0,,,,,,,
903,because,because,390.83,390.96,0,,,,,,,
904,the,the,390.96,391.07,0,,,,,,,
905,manner,manner,391.07,391.57,2,,,she changes her mind here,,,,
906,like,like,391.58,391.81,0,,1,,,,,
907,the,the,391.809999,392.049999,0,,,,,,,
908,pills,pills,392.059999,392.309999,0,,,that's the correction,,,,
909,were,were,392.32,392.41,0,,,,,,,
910,obviously,obviously,392.41,392.81,0,,,,,,,
911,self,self,392.83,393.07,0,,,,,,,
912,administered,administered,393.07,393.68,1,,,end of quote,,,,
913,and,and,394.07,394.28,0,,,,,,,
914,then,then,394.279999,394.489999,0,,,,,,,
915,he,he,394.49,394.62,0,,,,,,,
916,says,says,394.619999,394.949999,0,,,,,,,
917,like,like,395.33,395.72,0,,1,,,,,
918,in,in,396.440001,396.560001,0,,,,,,,
919,short,short,396.58,397.03,2,,,,,,,
920,or,or,397.059999,397.209999,0,,,she changes here mind here,,,,
921,the,,,,0,,,,,,,
922,woman,woman,397.35,397.62,0,,,,,,,
923,asks,asks,397.64,397.9,0,,,,,,,
923a,like,,,,0,,1,,,,,
924,how,how,398.09,398.28,0,,,,,,,
925,can,can,398.28,398.46,0,,,,,,,
926,we,we,398.46,398.62,0,,,,,,,
927,uh,uh,399.19,399.53,0,,1,,,,,
927a,like,,,,0,,1,,,,,
928,prevent,prevent,399.76,400.06,0,,,,,,,
929,this,this,400.06,400.23,0,,,,,,,
929a,from,,,,0,,,,,,,
930,happening,happening,400.33,400.74,1,,,,,,,
931,and,and,400.74,400.96,0,,,,,,,
932,he,he,401.33,401.87,0,,,,,,,
933,almost,almost,401.9,402.21,0,,,,,,,
934,brushes,brushes,402.21,402.73,0,,,,,,,
935,it,it,402.96,403.14,0,,,,,,,
936,off,off,403.14,403.39,0,,,,,,,
937,saying,saying,403.39,403.78,1,,,,,,,
938,well,well,403.78,404.03,0,,2,start of quote,,,,
939,don't,don't,404.18,404.33,0,,,,,,,
940,commit,commit,404.37,404.6,0,,,,,,,
941,suicide,suicide,404.6,405.15,1,,,end of quote,,,,
942,and,and,405.429999,405.539999,0,,,,,,,
943,then,then,405.54,405.63,0,,,,,,,
944,he,he,405.63,405.79,0,,,,,,,
945,says,says,405.79,406.2,0,,,,,,,
946,um,um,406.219999,406.639999,0,,1,,,,,
947,something,something,407.7,408.04,0,,,,,,,
948,along,along,408.04,408.27,0,,,,,,,
949,the,the,408.27,408.36,0,,,,,,,
950,lines,lines,408.36,408.62,0,,,,,,,
951,of,of,408.62,408.79,2,,,she changes her mind here,,,,
952,I'm,i'm,408.79,408.87,0,,,,,,,
953,paraphrasing,paraphrasing,408.87,409.49,0,,,,,,,
954,but,but,409.49,409.87,3,,2,,,,,
955,you,you,410.059999,410.249999,0,,,,,,,
956,guys,guys,410.25,410.55,0,,,we disagreed. shaked thought its 0/1 and oz 2,,,,
957,everyone,everyone,410.589999,410.969999,0,,,,,,,
958,is,is,410.969999,411.149999,0,,,,,,,
959,as,as,411.45,411.62,0,,,,,,,
960,safe,safe,411.69,411.97,0,,,,,,,
961,as,as,411.969999,412.139999,0,,,,,,,
962,they,they,412.139999,412.269999,0,,,,,,,
963,want,want,412.27,412.52,0,,,,,,,
964,to,to,412.52,412.68,0,,,,,,,
965,be,be,412.83,413.04,1,,,,,,,
966,and,and,413.33,413.46,0,,,,,,,
967,then,then,413.46,413.49,0,,,,,,,
968,again,again,413.66,414.15,0,,,,,,,
969,the,the,414.33,414.53,2,,,,,,,
970,everyone,everyone,414.57,414.86,0,,,,,,,
971,gets,gets,414.86,415.02,0,,,,,,,
972,a,a,415.02,415.07,0,,,,,,,
973,text,text,415.07,415.36,0,,,,,,,
974,saying,saying,415.36,415.68,0,,,,,,,
975,wrong,wrong,415.73,416.14,1,,,,,,,
976,and,and,416.17,416.38,0,,,,,,,
977,that's,that's,416.39,416.6,0,,,,,,,
978,the,the,416.6,416.71,0,,,,,,,
979,third,third,416.71,416.93,0,,,,,,,
980,time,time,416.93,417.16,0,,,,,,,
981,that,that,417.16,417.34,0,,,,,,,
982,text,text,417.91,418.17,0,,,,,,,
983,is,is,418.31,418.33,0,,,,,,,
984,sent,sent,418.33,418.41,1,,,,,,,
985,and,and,418.97,419.14,0,,,,,,,
986,then,then,419.14,419.4,0,,,,,,,
987,a,a,419.45,419.55,0,,,,,,,
988,text,text,419.55,419.89,0,,,,,,,
989,is,is,419.89,419.98,0,,,,,,,
990,sent,sent,419.99,420.26,0,,,,,,,
991,to,to,420.28,420.78,0,,,,,,,
992,only,only,421.02,421.33,0,,,,,,,
993,the,the,421.33,421.67,0,,,,,,,
994,man,man,421.71,421.93,0,,,,,,,
995,who,who,421.93,422.02,0,,,,,,,
996,was,was,422.02,422.18,0,,,,,,,
997,speaking,speaking,422.19,422.7,1,,,,,,,
998,um,um,423.059999,423.549999,0,,1,,,,,
999,uh,uh,425.139999,425.839999,0,,1,,,,,
1000,oh,oh,425.95,426.07,0,,1,,,,,
1001,I'm,i'm,426.07,426.2,0,,,,,,,
1002,not,not,426.2,426.32,0,,,,,,,
1003,sure,sure,426.32,426.44,0,,,,,,,
1004,i,i,426.509999,426.599999,0,,,,,,,
1005,remember,remember,426.599999,426.859999,0,,,,,,,
1006,what,what,426.86,427.08,0,,,,,,,
1007,it,it,427.08,427.33,0,,,,,,,
1008,said,said,427.59,427.84,1,,,,,,,
1009,but,but,427.99,428.02,0,,,,,,,
1010,it,it,428.02,428.04,0,,,,,,,
1011,was,was,428.04,428.15,0,,,,,,,
1012,signed,signed,428.15,428.55,0,,,,,,,
1013,s,s,428.62,428.82,0,,,,,,,
1014,h,h,428.86,429.03,0,,,,,,,
1015,which,which,429.03,429.08,0,,,,,,,
1016,we,we,429.389999,429.539999,0,,,,,,,
1017,can,can,429.54,429.68,0,,,,,,,
1018,assume,assume,429.679999,429.999999,0,,,,,,,
1019,is,is,430.039999,430.359999,0,,,,,,,
1020,sherlock,sherlock,430.74,431.13,0,,,,,,,
1021,holmes,holmes,431.129999,431.489999,1,,,,,,,
1022,um,um,432.149999,432.589999,0,,1,,,,,
1023,let's,let's,434.42,434.62,0,,2,,,,,
1024,see,see,434.92,434.94,1,,2,,,,,
1025,and,and,434.94,435.07,0,,,,,,,
1026,then,then,435.07,435.63,0,,,,,,,
1027,um,um,436.48,436.91,0,,1,,,,,
1028,i,i,437.53,438.23,0,,,,,,,
1029,believe,,,,0,,,,,,,
1030,we,we,439.55,440.23,0,,,,,,,
1031,go,go,440.46,440.75,0,,,,,,,
1032,to,to,441.12,441.35,2,,,,,,,
1033,go,go,441.559999,441.699999,0,,,repitition,,,,
1034,back,back,441.7,442,0,,,,,,,
1035,to,to,442.02,442.12,0,,,,,,,
1036,um,um,442.559999,443.149999,0,,1,,,,,
1037,uh,uh,443.91,444.24,0,,1,,,,,
1038,watson,watson,444.25,444.88,0,,,,,,,
1039,which,which,444.889999,445.079999,0,,,,,,,
1040,was,was,445.08,445.31,0,,,,,,,
1041,the,the,445.32,445.48,0,,,,,,,
1042,man,man,445.48,445.77,0,,,,,,,
1043,who,who,445.77,445.95,0,,,,,,,
1044,had,had,445.95,446.18,0,,,,,,,
1045,the,the,446.19,446.32,0,,,,,,,
1046,nightmare,nightmare,446.32,446.74,0,,,,,,,
1047,earlier,earlier,446.74,447.25,1,,,,,,,
1048,and,and,447.53,447.84,0,,,,,,,
1049,he's,he's,447.839999,448.219999,0,,,,,,,
1050,walking,walking,448.24,448.92,0,,,,,,,
1051,around,around,448.92,449.26,0,,,,,,,
1052,what,what,449.26,449.37,0,,,,,,,
1053,looks,looks,449.369999,449.539999,0,,,,,,,
1054,like,like,449.539999,449.799999,0,,,,,,,
1055,a,a,449.939999,449.959999,0,,,,,,,
1056,university,university,449.959999,450.999999,0,,,,,,,
1057,area,area,451.009999,451.759999,1,,,,,,,
1058,um,um,452.069999,452.399999,0,,1,,,,,
1059,he,he,452.399999,452.559999,0,,,,,,,
1060,meets,meets,452.559999,452.809999,0,,,,,,,
1061,this,this,453.409999,453.659999,0,,,,,,,
1062,other,other,454.24,454.55,0,,,,,,,
1063,guy,guy,454.55,454.98,2,,,,,,,
1064,um,um,456.18,456.59,0,,1,,,,,
1065,not,not,456.8,457.17,0,,,,,,,
1066,exactly,exactly,457.17,457.41,0,,,,,,,
1067,sure,sure,457.5,457.65,0,,,,,,,
1068,what,what,457.65,457.75,0,,,,,,,
1069,his,his,457.75,457.94,0,,,,,,,
1070,role,role,457.94,458.07,0,,,,,,,
1071,is,is,458.07,458.09,0,,,no 'is',,,,
1072,either,either,458.09,458.27,3,,,,,,,
1073,but,but,458.49,458.52,0,,,,,,,
1074,this,this,458.52,458.66,0,,,,,,,
1075,older,older,458.67,458.98,0,,,,,,,
1076,man,man,458.98,459.31,1,,,,,,,
1077,and,and,459.559999,459.729999,0,,,,,,,
1078,they,they,459.73,459.84,0,,,,,,,
1079,sit,sit,459.84,460.11,0,,,,,,,
1080,and,and,460.11,460.24,0,,,,,,,
1081,talk,talk,460.24,460.49,0,,,,,,,
1082,for,for,460.51,460.62,0,,,,,,,
1083,awhile,awhile,460.62,460.98,1,,,,,,,
1084,they're,they're,460.98,461.13,0,,,,,,,
1085,having,having,461.139999,461.469999,0,,,,,,,
1086,coffee,coffee,461.52,462.25,1,,,,,,,
1087,um,um,462.639999,463.369999,0,,1,,,,,
1088,oh,oh,464.889999,465.049999,0,,1,,,,,
1089,i,i,465.049999,465.159999,0,,,,,,,
1090,never,never,465.179999,465.439999,0,,,,,,,
1091,mentioned,mentioned,465.44,465.71,0,,,,,,,
1092,earlier,earlier,465.71,465.95,1,,,,,,,
1093,but,but,465.95,466.13,0,,,,,,,
1094,so,so,466.139999,466.309999,0,,2,,,,,
1095,watson,watson,466.309999,466.919999,2,,,she's paraphrasing a bit,,,,
1096,he,he,466.93,467.09,0,,,,,,,
1097,has,has,467.09,467.41,0,,,,,,,
1098,a,a,467.449999,467.879999,2,,,,,,,
1099,uh,uh,468.01,468.47,0,,1,,,,,
1100,his,,,,0,,,she paraphrased again,,,,
1101,leg,,,,0,,,,,,,
1102,is,,,,0,,,,,,,
1103,injured,injured,469.18,469.62,1,,,,,,,
1104,so,so,469.97,469.99,0,,,,,,,
1105,he,he,470,470.2,0,,,,,,,
1106,walks,walks,470.2,470.53,0,,,,,,,
1107,with,with,470.53,470.7,0,,,,,,,
1108,a,a,470.7,470.75,0,,,,,,,
1109,cane,cane,470.75,471.11,0,,,,,,,
1110,and,and,471.11,471.17,0,,,,,,,
1111,with,with,471.22,471.39,0,,,,,,,
1112,a,a,471.41,471.49,0,,,,,,,
1113,bit,bit,471.49,471.65,0,,,,,,,
1114,of,of,471.65,471.75,0,,,,,,,
1115,a,a,471.75,471.8,0,,,,,,,
1116,limp,limp,471.8,472.05,1,,,,,,,
1117,um,um,472.49,472.89,0,,1,,,,,
1118,but,but,472.9,473.07,0,,,,,,,
1119,yeah,yeah,473.07,473.27,0,,1,,,,,
1120,so,so,473.27,473.5,0,,2,,,,,
1121,he,,,,0,,,,,,,
1122,and,,,,0,,,,,,,
1123,this,,,,0,,,,,,,
1124,man,man,474.11,474.41,0,,,,,,,
1125,that,that,474.41,474.47,0,,,,,,,
1126,he,he,474.48,474.67,0,,,,,,,
1127,met,met,474.67,475.02,0,,,,,,,
1128,are,are,475.26,475.65,0,,,,,,,
1129,now,now,475.66,475.92,0,,,,,,,
1130,sitting,sitting,475.92,476.23,0,,,,,,,
1131,on,on,476.23,476.33,0,,,,,,,
1132,a,a,476.33,476.44,0,,,,,,,
1133,bench,bench,476.47,476.89,0,,,,,,,
1134,just,just,476.889999,477.109999,0,,,,,,,
1135,talking,talking,477.11,477.52,1,,,,,,,
1136,um,um,477.74,478.12,0,,1,,,,,
1137,there's,there's,479.509999,479.829999,0,,,,,,,
